Price,Close,High,Low,Open,Volume
Ticker,HPG,HPG,HPG,HPG,HPG
Date,,,,,
2023-03-20,15151.5,15606.1,15151.5,15454.5,30350000
2023-03-21,15492.4,15568.2,15037.9,15303,25160000
2023-03-22,15378.8,15606.1,15265.1,15568.2,16970000
2023-03-23,15454.5,15454.5,15189.4,15303,14180000
2023-03-24,15454.5,15530.3,15378.8,15492.4,18070000
2023-03-27,15757.6,15833.3,15416.7,15454.5,26750000
2023-03-28,15681.8,15909.1,15681.8,15833.3,16270000
2023-03-29,15757.6,15984.8,15681.8,15681.8,23680000
2023-03-30,15757.6,16022.7,15719.7,15909.1,27660000
2023-03-31,15757.6,15833.3,15416.7,15757.6,31380000
2023-04-03,15909.1,15984.8,15795.5,15947,28210000
2023-04-04,15984.8,16060.6,15871.2,16022.7,26220000
2023-04-05,16287.9,16287.9,15871.2,15984.8,33690000
2023-04-06,16287.9,16590.9,16212.1,16325.8,36750000
2023-04-07,16060.6,16363.6,15984.8,16287.9,24500000
2023-04-10,15681.8,16174.2,15606.1,16098.5,35040000
2023-04-11,15757.6,15795.5,15606.1,15681.8,19030000
2023-04-12,15719.7,15833.3,15643.9,15833.3,14040000
2023-04-13,15492.4,15757.6,15416.7,15757.6,19420000
2023-04-14,15643.9,15795.5,15530.3,15568.2,17960000
2023-04-17,15795.5,15833.3,15606.1,15606.1,12240000
2023-04-18,15871.2,15909.1,15757.6,15833.3,15270000
2023-04-19,15757.6,15947,15757.6,15947,13830000
2023-04-20,15757.6,15833.3,15719.7,15757.6,8650000
2023-04-21,15681.8,15795.5,15681.8,15757.6,14710000
2023-04-24,15643.9,15757.6,15568.2,15681.8,13960000
2023-04-25,15947,16098.5,15681.8,15757.6,24370000
2023-04-26,16666.7,16666.7,15833.3,15947,35400000
2023-04-27,16439.4,16666.7,16363.6,16666.7,22620000
2023-04-28,16401.5,16515.1,16212.1,16439.4,20790000
2023-05-04,16136.4,16363.6,16060.6,16250,21840000
2023-05-05,16250,16439.4,16060.6,16136.4,14240000
2023-05-08,16363.6,16477.3,16250,16325.8,13800000
2023-05-09,16515.1,16780.3,16363.6,16363.6,29590000
2023-05-10,16439.4,16590.9,16401.5,16515.1,11540000
2023-05-11,16477.3,16628.8,16363.6,16515.1,18000000
2023-05-12,16931.8,17045.4,16363.6,16477.3,59540000
2023-05-15,16742.4,17121.2,16742.4,17007.6,23350000
2023-05-16,16666.7,16893.9,16590.9,16742.4,23500000
2023-05-17,16515.1,16742.4,16477.3,16666.7,34320000
2023-05-18,16628.8,16818.2,16515.1,16590.9,24570000
2023-05-19,16515.1,16742.4,16401.5,16666.7,15200000
2023-05-22,16590.9,16742.4,16477.3,16515.1,19630000
2023-05-23,16439.4,16704.5,16363.6,16628.8,17980000
2023-05-24,16136.4,16590.9,16136.4,16590.9,26760000
2023-05-25,16060.6,16250,16060.6,16136.4,17500000
2023-05-26,15984.8,16212.1,15795.5,16136.4,21240000
2023-05-29,16250,16250,16060.6,16136.4,14640000
2023-05-30,16174.2,16363.6,16098.5,16287.9,17760000
2023-05-31,16060.6,16250,16022.7,16212.1,17270000
2023-06-01,16212.1,16212.1,15947,16022.7,14300000
2023-06-02,16363.6,16515.1,16250,16287.9,24900000
2023-06-05,16401.5,16704.5,16363.6,16515.1,26460000
2023-06-06,16477.3,16553,16325.8,16439.4,15580000
2023-06-07,17121.2,17272.7,16666.7,16666.7,73280000
2023-06-08,17272.7,17537.9,17197,17197,56130000
2023-06-09,17348.5,17348.5,17045.4,17272.7,31510000
2023-06-12,17386.4,17537.9,17045.4,17500,29330000
2023-06-13,17727.3,17765.1,17348.5,17424.2,48770000
2023-06-14,17500,17765.1,17500,17765.1,30990000
2023-06-15,17537.9,17613.6,17424.2,17424.2,23060000
2023-06-16,17765.1,18030.3,17537.9,17613.6,43570000
2023-06-19,17689.4,17803,17651.5,17765.1,17400000
2023-06-20,17916.7,17916.7,17651.5,17689.4,19280000
2023-06-21,18636.4,18674.2,17803,17954.5,47000000
2023-06-22,18825.8,18901.5,18447,18712.1,30410000
2023-06-23,19242.4,19356.1,18750,18825.8,38490000
2023-06-26,19090.9,19318.2,18712.1,19242.4,26930000
2023-06-27,19545.4,19545.4,19015.1,19204.5,26320000
2023-06-28,20151.5,20227.3,19621.2,19697,40010000
